"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3477","test3","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","2572","login credentials","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","2187","test4","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","2878","test2","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","5592","login page","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","0","get started link","firefox","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","3738","login page","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","1","has title","chromium","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","0","get started link","webkit","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","5683","test3","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","4543","test1","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","4102","test3","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","3512","test","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","8031","test1","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","1","has title","firefox","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","4530","test4","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","7386","test1","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","5173","test","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","2730","test2","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","3055","test","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","0","get started link","chromium","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","3733","test4","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","0","has title","webkit","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","3834","login credentials","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","5685","login credentials","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","3002","test2","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","2699","login page","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
